,0,1,2,3,4,5,6,7,8,9,b_avg,ofl_avg
0,obs1-1,1.45,1.01,2.58,5.36,2.68,9.94,8.06,8.94,16.55,2.616,10.872499999999999
2,obs1-2,0.45,9.5,6.17,5.13,6.03,2.68,2.13,1.56,1.01,5.4559999999999995,1.8450000000000002
4,obs1-3,3.02,6.04,12.95,16.13,6.61,40.34,46.82,35.79,24.13,8.95,36.769999999999996
6,obs1-4,3.24,2.8,4.69,2.91,10.97,9.94,8.83,11.86,5.92,4.922,9.1375
8,obs1-5,0.0,0.67,0.78,0.0,2.01,0.45,2.91,2.13,7.61,0.692,3.2750000000000004
10,obs2-1,0.0,0.56,0.67,4.69,10.5,9.61,8.05,18.16,21.36,3.2840000000000003,14.295
12,obs2-2,0.0,0.0,0.0,0.0,3.01,3.36,2.24,1.56,6.37,0.602,3.3825000000000003
14,obs2-3,0.0,2.68,4.13,0.0,3.35,9.52,7.72,13.97,6.7,2.032,9.477500000000001
16,obs2-4,0.0,0.0,0.0,2.58,3.24,4.15,8.26,3.46,5.72,1.1640000000000001,5.3975
18,obs2-5,0.0,0.0,0.45,0.9,4.81,8.74,4.91,1.9,2.92,1.232,4.6175
